Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
1090255687,L,IB,1,5,3575,130530,107,47:00.0,6,0:00,202,202,202
1090924808,L,OB,1,1,273,291181,30,24:00.0,4,7:00,324,324,324
1129341530,L,IB,1,1,1950,138456,152,46:00.0,4,7:00,521,521,521
1129341797,L,IB,1,1,390,290273,150,57:00.0,5,4:00,515,531,531
1129342127,L,IB,1,1,1100,127081,132,54:00.0,7,5:00,616,653,653
112958277X,L,OB,1,6,3696,134858,50,09:00.0,4,18:00,324,324,324
1129614972,L,OB,1,1,580,251507,90,19:00.0,2,21:00,355,355,355
1320927071,L,OB,1,5,1107,135157,75,55:00.0,2,20:00,216,216,216
1606386802,L,OB,1,34,697,132951,44,09:00.0,5,1:00,324,324,324
161682595X,L,OB,1,1,513,136816,94,47:00.0,6,13:00,322,322,322
1851936945,L,OB,1,2,984,128156,91,28:00.0,5,7:00,857,857,857
1851937248,L,OB,1,1,1281,128014,91,43:00.0,5,2:00,857,857,857
1851937284,L,OB,1,4,2342,T730211725,8,57:00.0,3,21:00,324,324,324
1851937430,L,OB,1,2,749,138990,91,33:00.0,5,1:00,857,857,857
1978333921,L,OB,1,1,560,136534,5,24:00.0,3,12:00,324,324,324
1978334013,L,IB,1,4,9169,131670,143,43:00.0,3,16:00,630,881,881
1978334040,L,OB,1,2,1130,123784,19,50:00.0,6,7:00,324,324,324
1978334040,L,OB,1,2,1130,123784,5,24:00.0,6,4:00,324,324,324
197833405X,L,IB,1,1,240,117312,141,52:00.0,6,4:00,894,890,890
1978334096,L,OB,1,1,150,136324,94,01:00.0,1,10:00,322,322,322
1978334105,L,IB,1,2,4552,133112,107,39:00.0,5,9:00,202,202,202
1978345691,L,OB,1,4,1185,129889,93,54:00.0,3,17:00,312,312,312
197834571X,L,IB,1,1,220,117312,141,18:00.0,6,1:00,890,890,890
1978345792,L,IB,1,1,755,140219,139,42:00.0,6,14:00,352,326,326
