Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
247324677X,L,OB,1,1,271,132124,91,46:00.0,6,22:00,525,525,525
2511037832,L,CTY,1,2,5216,530717,201,36:00.0,1,4:00,447,447,447
2513876382,L,CTY,1,1,63,134705,182,05:00.0,7,14:00,409,409,409
2513885384,L,OB,1,1,56,128150,93,51:00.0,3,0:00,508,508,508
251469371X,L,IB,1,1,935,249311,154,01:00.0,2,9:00,714,402,402
2514693729,L,IB,1,2,1827,249311,154,59:00.0,2,8:00,418,402,402
2515894341,L,IB,1,1,2319,T402218947,156,40:00.0,4,21:00,726,402,402
2515894379,L,IB,1,2,4137,125828,154,20:00.0,7,12:00,490,402,402
2515894388,L,IB,1,8,2975,138704,162,32:00.0,3,1:00,411,411,411
2530242157,L,OB,1,1,148,127413,24,09:00.0,5,14:00,232,211,211
2530547948,L,OB,1,3,2650,130587,99,17:00.0,3,1:00,431,431,431
2531148620,L,OB,1,1,333,139872,97,12:00.0,7,9:00,853,431,431
2531462964,L,IB,1,1,205,137429,108,20:00.0,5,18:00,556,556,521
2531591866,L,CTY,1,1,98,131824,190,36:00.0,7,21:00,245,245,245
2532918594,L,CTY,1,20,100,139489,182,34:00.0,5,10:00,409,409,409
2533801409,L,CTY,1,7,7794,138204,230,28:00.0,7,2:00,422,422,422
253406990X,L,OB,1,1,160,131853,68,00:00.0,5,3:00,111,153,153
2534091176,L,OB,1,2,1834,134702,37,25:00.0,7,19:00,642,642,642
2534143994,L,CTY,1,17,260,123032,193,32:00.0,2,18:00,244,244,244
2536472575,L,CTY,1,1,146,129714,230,14:00.0,4,4:00,422,422,422
2537066676,L,CTY,1,1,250,131079,193,04:00.0,4,13:00,244,244,244
2537078098,L,IB,1,3,165,137871,118,32:00.0,3,16:00,685,685,685
2537811569,L,IB,1,2,710,136051,102,35:00.0,1,7:00,511,511,511
2540298055,L,OB,1,1,245,135260,31,14:00.0,6,6:00,967,813,813
2540298165,L,OB,1,1,441,124038,54,32:00.0,4,4:00,841,841,841
2540298174,L,OB,1,1,474,139875,52,45:00.0,7,4:00,875,875,875
2540298183,L,OB,1,1,458,124238,54,25:00.0,4,3:00,841,841,841
2558528273,L,CTY,1,7,125,133850,186,20:00.0,6,1:00,432,432,432
