Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org,UnloadDate,UnloadTime
2196649455,U,OB,1,2,1236,261315,79,"43,408.83",1,19:00,326,11/4/2018,19:59:00
2403204172,U,OB,1,1,945,134402,70,"43,418.86",4,20:00,730,11/14/2018,20:42:00
2404005100,U,OB,1,1,966,251290,46,"43,409.63",2,15:00,730,11/5/2018,15:10:00
2404005100,U,OB,1,1,966,251290,73,"43,406.47",6,11:00,730,11/2/2018,11:15:00
2404303119,U,OB,1,3,4865,251290,73,"43,406.43",6,10:00,730,11/2/2018,10:21:00
2443571316,U,OB,1,1,450,126495,68,"43,412.94",5,22:00,754,11/8/2018,22:39:00
2464858994,U,IB,1,1,120,117038,159,"43,396.11",3,2:00,246,10/23/2018,2:32:00
2473246596,U,IB,1,1,220,138782,116,"43,396.24",3,5:00,245,10/23/2018,5:41:00
2473246632,U,CTY,1,21,1090,202574,172,"43,398.76",5,18:00,245,10/25/2018,18:13:00
2473246733,U,IB,1,2,477,134012,114,"43,413.37",6,8:00,245,11/9/2018,8:58:00
2473246742,U,IB,1,4,1425,134012,114,"43,413.35",6,8:00,245,11/9/2018,8:30:00
2479720949,U,IB,1,1,320,430952,126,"43,400.27",7,6:00,202,10/27/2018,6:25:00
251388477X,U,IB,1,1,190,126445,157,"43,412.39",5,9:00,251,11/8/2018,9:18:00
2513884908,U,IB,1,2,485,127763,158,"43,418.69",4,16:00,251,11/14/2018,16:38:00
2513898914,U,IB,1,1,110,127693,118,"43,417.31",3,7:00,251,11/13/2018,7:23:00
2513898923,U,IB,1,1,163,127693,118,"43,417.31",3,7:00,251,11/13/2018,7:27:00
2514693691,U,CTY,1,1,1827,290019,170,"43,405.28",5,6:00,251,11/1/2018,6:49:00
2514693700,U,CTY,1,1,1827,290019,170,"43,405.28",5,6:00,251,11/1/2018,6:47:00
2530096095,U,OB,1,1,422,121924,85,"43,420.37",6,8:00,556,11/16/2018,8:50:00
2531462919,U,OB,1,1,145,133480,98,"43,417.31",3,7:00,213,11/13/2018,7:29:00
2531462928,U,OB,1,2,2965,133480,98,"43,417.31",3,7:00,213,11/13/2018,7:22:00
2531862163,U,OB,1,2,1245,123062,78,"43,407.23",7,5:00,783,11/3/2018,5:35:00
2535086135,U,OB,1,1,68,133188,70,"43,418.32",4,7:00,318,11/14/2018,7:43:00
253585003X,U,OB,1,6,7500,136415,98,"43,410.43",3,10:00,567,11/6/2018,10:14:00
2535850049,U,OB,1,2,2500,121248,75,"43,412.80",5,19:00,567,11/8/2018,19:12:00
2537078042,U,OB,1,2,370,280173,64,"43,398.14",5,3:00,895,10/25/2018,3:25:00
2537394274,U,OB,1,1,439,123484,77,"43,399.71",6,17:00,621,10/26/2018,17:03:00
2539452585,U,OB,1,4,2625,558590,62,"43,405.76",5,18:00,388,11/1/2018,18:15:00
2539452594,U,IB,1,3,1950,134701,100,"43,414.34",7,8:00,388,11/10/2018,8:15:00
2588234849,U,IB,1,1,284,430039,116,"43,400.18",7,4:00,356,10/27/2018,4:23:00
2588234867,U,IB,1,1,282,131672,159,"43,411.60",4,14:00,356,11/7/2018,14:28:00
258843635X,U,IB,1,1,265,138051,135,"43,406.14",6,3:00,356,11/2/2018,3:27:00
2588436378,U,IB,1,1,970,559141,124,"43,407.18",7,4:00,356,11/3/2018,4:19:00
2588436387,U,IB,1,1,601,251441,135,"43,410.01",3,0:00,356,11/6/2018,0:20:00
2588436396,U,IB,1,1,1275,137317,116,"43,412.37",5,8:00,356,11/8/2018,8:47:00
2588436405,U,OB,1,1,156,290276,84,"43,413.48",6,11:00,356,11/9/2018,11:37:00
2588436405,U,OB,1,1,156,290276,84,"43,413.48",6,11:00,356,11/9/2018,11:37:00
2588436414,U,IB,1,1,537,135317,128,"43,413.09",6,2:00,356,11/9/2018,2:04:00
2588436432,U,IB,1,1,330,R62110842,137,"43,414.38",7,9:00,356,11/10/2018,9:12:00
2588436441,U,IB,1,1,377,126907,161,"43,418.20",4,4:00,356,11/14/2018,4:41:00
2748663490,U,IB,1,1,200,430952,126,"43,400.39",7,9:00,202,10/27/2018,9:17:00
274915212X,U,IB,1,4,2418,124272,159,"43,414.64",7,15:00,202,11/10/2018,15:21:00
2749242512,U,IB,1,2,686,119779,163,"43,418.09",4,2:00,202,11/14/2018,2:10:00
2749298731,U,OB,1,3,852,128076,74,"43,407.26",7,6:00,202,11/3/2018,6:16:00
2749298731,U,IB,1,3,852,128076,155,"43,407.35",7,8:00,202,11/3/2018,8:19:00
2749298740,U,IB,1,3,1040,136440,128,"43,410.70",3,16:00,202,11/6/2018,16:46:00
2749299245,U,OB,1,6,2968,134377,98,"43,398.31",5,7:00,202,10/25/2018,7:22:00
2749373587,U,IB,1,5,7015,125276,124,"43,398.61",5,14:00,202,10/25/2018,14:32:00
2749373596,U,IB,1,6,9165,127922,158,"43,403.59",3,14:00,202,10/30/2018,14:16:00
2749373605,U,IB,1,7,11085,129165,159,"43,412.58",5,13:00,202,11/8/2018,13:50:00
2749373614,U,IB,1,8,12150,119779,163,"43,418.10",4,2:00,202,11/14/2018,2:27:00
2749373623,U,IB,1,3,3675,124338,158,"43,420.44",6,10:00,202,11/16/2018,10:33:00
2749391984,U,CTY,1,2,497,135856,D31 ,"43,415.16",1,3:00,202,11/11/2018,3:48:00
2749407806,U,CTY,1,2,500,128416,170,"43,419.08",5,1:00,202,11/15/2018,1:58:00
274964459X,U,OB,1,45,800,134377,98,"43,398.44",5,10:00,202,10/25/2018,10:38:00
2749667635,U,IB,1,1,721,133181,124,"43,395.18",2,4:00,202,10/22/2018,4:20:00
2749696657,U,IB,1,29,303,129594,114,"43,397.94",4,22:00,202,10/24/2018,22:35:00
2749696675,U,IB,1,30,233,129594,114,"43,397.87",4,20:00,202,10/24/2018,20:57:00
2749696684,U,IB,1,107,1090,129594,114,"43,397.84",4,20:00,202,10/24/2018,20:14:00
2749696702,U,CTY,1,105,1270,137111,169,"43,410.35",3,8:00,202,11/6/2018,8:22:00
2749696749,U,OB,1,28,345,202746,75,"43,407.04",7,0:00,202,11/3/2018,0:53:00
2749696877,U,CTY,1,98,1200,137111,169,"43,410.43",3,10:00,202,11/6/2018,10:16:00
2749696886,U,CTY,1,90,1070,137111,169,"43,410.26",3,6:00,202,11/6/2018,6:12:00
2749812624,U,IB,1,2,940,132493,157,"43,417.63",3,15:00,202,11/13/2018,15:08:00
2749812633,U,IB,1,4,6090,132855,135,"43,421.99",7,23:00,202,11/17/2018,23:49:00
2749813091,U,IB,1,1,125,261399,158,"43,396.25",3,6:00,202,10/23/2018,6:04:00
2749813100,U,IB,1,1,477,127922,133,"43,403.60",3,14:00,202,10/30/2018,14:17:00
2749813100,U,IB,1,1,477,127922,158,"43,403.56",3,13:00,202,10/30/2018,13:25:00
2749813165,U,IB,1,3,1991,119779,163,"43,418.10",4,2:00,202,11/14/2018,2:30:00
2758629345,U,OB,1,1,810,124033,83,"43,421.36",7,8:00,511,11/17/2018,8:38:00
2781598879,U,OB,1,2,720,119371,91,"43,395.17",2,4:00,830,10/22/2018,4:06:00
2791142388,U,OB,1,3,1264,127483,84,"43,413.13",6,3:00,830,11/9/2018,3:02:00
2791142388,U,OB,1,3,1264,127483,96,"43,416.48",2,11:00,830,11/12/2018,11:37:00
2802072034,U,OB,1,1,666,139575,98,"43,395.14",2,3:00,411,10/22/2018,3:16:00
2802072676,U,OB,1,1,325,133911,89,"43,411.14",4,3:00,411,11/7/2018,3:26:00
2806534752,U,IB,1,1,768,45664,115,"43,409.52",2,12:00,411,11/5/2018,12:34:00
2884894075,U,IB,1,1,400,133221,118,"43,413.40",6,9:00,288,11/9/2018,9:31:00
2885216797,U,OB,1,1,70,137798,35,"43,411.38",4,9:00,288,11/7/2018,9:05:00
2885216797,U,OB,1,1,70,137798,35,"43,411.38",4,9:00,288,11/7/2018,9:05:00
2885216797,U,OB,1,1,70,137798,35,"43,411.38",4,9:00,288,11/7/2018,9:05:00
2902116539,U,OB,1,1,410,132543,79,"43,421.70",7,16:00,290,11/17/2018,16:43:00
2902127759,U,OB,1,1,736,124309,69,"43,394.29",1,6:00,290,10/21/2018,6:58:00
2902148109,U,IB,1,1,440,137744,135,"43,397.44",4,10:00,290,10/24/2018,10:30:00
2902148219,U,OB,1,1,415,R621565940,69,"43,406.23",6,5:00,290,11/2/2018,5:30:00
2902301705,U,IB,1,1,525,431166,127,"43,407.31",7,7:00,290,11/3/2018,7:32:00
2902313282,U,OB,1,1,542,136120,69,"43,413.36",6,8:00,290,11/9/2018,8:45:00
2902313374,U,IB,1,1,173,131908,114,"43,410.37",3,8:00,290,11/6/2018,8:46:00
290233157X,U,IB,1,2,3925,139444,122,"43,419.65",5,15:00,290,11/15/2018,15:31:00
2902332359,U,OB,1,26,13632,124309,69,"43,394.35",1,8:00,290,10/21/2018,8:23:00
2902332514,U,OB,1,1,482,128028,72,"43,398.13",5,3:00,290,10/25/2018,3:04:00
2902332523,U,IB,1,4,7645,137744,135,"43,397.49",4,11:00,290,10/24/2018,11:39:00
2902332799,U,IB,1,2,4953,R621539086,137,"43,404.37",4,8:00,290,10/31/2018,8:46:00
2902332817,U,IB,1,2,4807,R621539086,137,"43,404.36",4,8:00,290,10/31/2018,8:38:00
2902333037,U,IB,1,4,1803,131908,114,"43,410.34",3,8:00,290,11/6/2018,8:12:00
2902333293,U,OB,1,2,1128,252071,78,"43,411.45",4,10:00,290,11/7/2018,10:41:00
2902333376,U,OB,1,4,1876,133018,64,"43,412.85",5,20:00,290,11/8/2018,20:25:00
