Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org
2537078042,U,OB,1,2,370,280173,64,25:00.0,5,3:00,895
2537394274,U,OB,1,1,439,123484,77,03:00.0,6,17:00,621
2539452585,U,OB,1,4,2625,558590,62,15:00.0,5,18:00,388
2539452594,U,IB,1,3,1950,134701,100,15:00.0,7,8:00,388
2588234849,U,IB,1,1,284,430039,116,23:00.0,7,4:00,356
2588234867,U,IB,1,1,282,131672,159,28:00.0,4,14:00,356
258843635X,U,IB,1,1,265,138051,135,27:00.0,6,3:00,356
2588436378,U,IB,1,1,970,559141,124,19:00.0,7,4:00,356
2588436387,U,IB,1,1,601,251441,135,20:00.0,3,0:00,356
2588436396,U,IB,1,1,1275,137317,116,47:00.0,5,8:00,356
2588436405,U,OB,1,1,156,290276,84,37:00.0,6,11:00,356
2588436405,U,OB,1,1,156,290276,84,37:00.0,6,11:00,356
2588436414,U,IB,1,1,537,135317,128,04:00.0,6,2:00,356
2588436432,U,IB,1,1,330,R62110842,137,12:00.0,7,9:00,356
2588436441,U,IB,1,1,377,126907,161,41:00.0,4,4:00,356
2748663490,U,IB,1,1,200,430952,126,17:00.0,7,9:00,202
274915212X,U,IB,1,4,2418,124272,159,21:00.0,7,15:00,202
2749242512,U,IB,1,2,686,119779,163,10:00.0,4,2:00,202
2749298731,U,OB,1,3,852,128076,74,16:00.0,7,6:00,202
2749298731,U,IB,1,3,852,128076,155,19:00.0,7,8:00,202
2749298740,U,IB,1,3,1040,136440,128,46:00.0,3,16:00,202
2749299245,U,OB,1,6,2968,134377,98,22:00.0,5,7:00,202
2749373587,U,IB,1,5,7015,125276,124,32:00.0,5,14:00,202
2749373596,U,IB,1,6,9165,127922,158,16:00.0,3,14:00,202
2749373605,U,IB,1,7,11085,129165,159,50:00.0,5,13:00,202
2749373614,U,IB,1,8,12150,119779,163,27:00.0,4,2:00,202
2749373623,U,IB,1,3,3675,124338,158,33:00.0,6,10:00,202
2749391984,U,CTY,1,2,497,135856,D31 ,48:00.0,1,3:00,202
2749407806,U,CTY,1,2,500,128416,170,58:00.0,5,1:00,202
274964459X,U,OB,1,45,800,134377,98,38:00.0,5,10:00,202
2749667635,U,IB,1,1,721,133181,124,20:00.0,2,4:00,202
2749696657,U,IB,1,29,303,129594,114,35:00.0,4,22:00,202
2749696675,U,IB,1,30,233,129594,114,57:00.0,4,20:00,202
2749696684,U,IB,1,107,1090,129594,114,14:00.0,4,20:00,202
2749696702,U,CTY,1,105,1270,137111,169,22:00.0,3,8:00,202
2749696749,U,OB,1,28,345,202746,75,53:00.0,7,0:00,202
2749696877,U,CTY,1,98,1200,137111,169,16:00.0,3,10:00,202
2749696886,U,CTY,1,90,1070,137111,169,12:00.0,3,6:00,202
2749812624,U,IB,1,2,940,132493,157,08:00.0,3,15:00,202
2749812633,U,IB,1,4,6090,132855,135,49:00.0,7,23:00,202
2749813091,U,IB,1,1,125,261399,158,04:00.0,3,6:00,202
2749813100,U,IB,1,1,477,127922,133,17:00.0,3,14:00,202
2749813100,U,IB,1,1,477,127922,158,25:00.0,3,13:00,202
2749813165,U,IB,1,3,1991,119779,163,30:00.0,4,2:00,202
2758629345,U,OB,1,1,810,124033,83,38:00.0,7,8:00,511
2781598879,U,OB,1,2,720,119371,91,06:00.0,2,4:00,830
2791142388,U,OB,1,3,1264,127483,84,02:00.0,6,3:00,830
2791142388,U,OB,1,3,1264,127483,96,37:00.0,2,11:00,830
2802072034,U,OB,1,1,666,139575,98,16:00.0,2,3:00,411
2802072676,U,OB,1,1,325,133911,89,26:00.0,4,3:00,411
2806534752,U,IB,1,1,768,45664,115,34:00.0,2,12:00,411
2884894075,U,IB,1,1,400,133221,118,31:00.0,6,9:00,288
2885216797,U,OB,1,1,70,137798,35,05:00.0,4,9:00,288
2885216797,U,OB,1,1,70,137798,35,05:00.0,4,9:00,288
2885216797,U,OB,1,1,70,137798,35,05:00.0,4,9:00,288
2902116539,U,OB,1,1,410,132543,79,43:00.0,7,16:00,290
2902127759,U,OB,1,1,736,124309,69,58:00.0,1,6:00,290
2902148109,U,IB,1,1,440,137744,135,30:00.0,4,10:00,290
2902148219,U,OB,1,1,415,R621565940,69,30:00.0,6,5:00,290
2902301705,U,IB,1,1,525,431166,127,32:00.0,7,7:00,290
2902313282,U,OB,1,1,542,136120,69,45:00.0,6,8:00,290
2902313374,U,IB,1,1,173,131908,114,46:00.0,3,8:00,290
290233157X,U,IB,1,2,3925,139444,122,31:00.0,5,15:00,290
2902332359,U,OB,1,26,13632,124309,69,23:00.0,1,8:00,290
2902332514,U,OB,1,1,482,128028,72,04:00.0,5,3:00,290
2902332523,U,IB,1,4,7645,137744,135,39:00.0,4,11:00,290
2902332799,U,IB,1,2,4953,R621539086,137,46:00.0,4,8:00,290
2902332817,U,IB,1,2,4807,R621539086,137,38:00.0,4,8:00,290
2902333037,U,IB,1,4,1803,131908,114,12:00.0,3,8:00,290
2902333293,U,OB,1,2,1128,252071,78,41:00.0,4,10:00,290
2902333376,U,OB,1,4,1876,133018,64,25:00.0,5,20:00,290
2902333742,U,OB,1,4,1920,T326599794,78,48:00.0,6,22:00,290
2902337143,U,IB,1,4,2060,135142,159,14:00.0,7,0:00,290
2902337152,U,IB,1,8,3000,252071,161,31:00.0,2,18:00,290
2902337161,U,OB,1,3,1650,530977,62,16:00.0,2,7:00,290
2902340122,U,IB,1,1,100,139444,122,42:00.0,5,15:00,290
2902344091,U,OB,1,2,3020,530977,62,32:00.0,2,6:00,290
2902344129,U,OB,1,1,1606,530977,62,38:00.0,2,0:00,290
2902344192,U,IB,1,8,2440,132690,102,46:00.0,4,12:00,290
2902344248,U,IB,1,1,689,135288,102,44:00.0,6,1:00,290
2902344266,U,OB,1,1,950,128028,72,56:00.0,5,4:00,290
2902344266,U,IB,1,1,950,128028,109,48:00.0,6,3:00,290
2902344358,U,IB,1,1,278,135142,159,17:00.0,7,0:00,290
2902344421,U,OB,1,1,170,R621565940,69,35:00.0,6,5:00,290
2902344486,U,IB,1,1,611,131908,114,42:00.0,3,8:00,290
2926070891,U,OB,1,1,200,122423,64,19:00.0,5,9:00,292
2932918630,U,OB,1,1,217,127088,79,50:00.0,3,16:00,422
